21E	3G	16B	4G	22G	21D	15C	10C	11E	3I	10A	14G	11G	12G	7G	17D	2E	18I	22A	23D	16G	1G	6G	8G	20G	7E	23H	13D	12D	17A	15I	15H	3C	14I	2F	7I	17G	14A	14C	15G	5I	4F	9G	9C	1I	19H	5E	6I	5G	10I	11H	21I	9H	14F	18G	8I	4I	13G	21C	13I	5H	16I	10G	2G	10H	2I	21G	7C	19E	23I	20H	12I	4A	21F	14H	16H	24I	23G	16F	3H	6D	24C	18H	12B	7H	1D	11A	6F	22H	18C	22I	24G	8D	13H	19G	6C	23A	3A	22C	19F	11I	18D	20I	7A	9B	17I	8C	22D	18A	2B	12H	6H	4H	24H	21H	17H	16C	14E	1F	19C	8H	19I	10B	2H	11C	1C	13F	8E	12E	1H	9F	15F	5A	19B	11F	24F	14D	11B	12C	24A
TaxVAMB_S10GC33	0.0	0.0	0.0	0.0	15.078862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5401048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.871728	0.0	3.4448183	4.430009	2.1958356	0.0	0.0	0.0	0.0	0.0	0.0	0.13681367	0.0	0.0	0.0	0.0	0.7698684	0.0	0.0	0.0	0.6995913	0.0	0.0	0.0	0.0	0.0	0.94009733	0.0	0.97549236	0.0	0.0	0.513135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0177933	0.0	0.35312808	0.4217952	0.0	0.37678924	0.0	0.0	0.0	0.848458	0.0	0.425043	0.0	0.0	0.0	0.0	0.0	1.9736235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30173117	0.0	2.894298	0.0	0.0	0.0	1.4671241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.2320766	0.0	0.0	0.0	0.0	0.29909408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TaxVAMB_S10GC3945	0.7811734	1.8845264	1.4324512	3.430636	2.7079566	0.0	0.48816073	0.0	0.0	1.678927	0.0	14.530114	2.6227663	3.2426424	2.6765282	0.0	0.0	2.9195037	0.0	0.0	5.9857287	0.0	4.246233	3.681766	4.425662	2.5223475	5.1607957	4.5733485	1.0624279	0.0	3.7968156	2.4882956	32.83215	3.2564948	1.0028898	8.0028	0.0	30.530771	0.0	12.710134	6.089623	0.0	5.3438535	13.441965	5.894351	2.4903128	1.9771806	5.391036	3.9442363	8.673122	10.372719	5.935633	15.058001	1.190568	8.793805	4.864996	2.9469519	2.93843	0.0	3.6527245	5.045795	2.749149	5.0466633	5.63602	7.795011	7.117076	6.7397785	0.0	0.0	5.023957	12.302522	0.0	0.0	7.058163	4.246255	3.8158624	2.0453515	0.0	0.8222236	2.548968	4.434603	1.7056158	6.670221	0.0	8.672452	0.0	0.0	1.2859672	4.305004	5.0347223	3.8345814	2.7828846	2.3888388	7.3409	0.0	5.334297	0.0	0.0	0.0	0.0	2.2628934	19.48729	0.0	0.0	0.0	6.4066725	4.218297	0.0	0.0	0.0	4.1663637	0.0	2.8864372	3.8669324	3.5198412	0.0	0.0	0.8906181	0.0	1.9156524	0.0	0.7932657	0.0	3.1227744	1.4548184	0.0	1.0305141	1.638325	2.3589327	2.283717	1.0811979	0.59094894	0.0	0.0	0.0	0.43675837	0.0	0.0	0.0	0.0
TaxVAMB_S10GC63	0.0	0.0	0.0	13.114673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6163063	3.1975803	36.54297	41.6196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0815975	13.0505085	0.25075507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.014512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.2884865	0.0	14.5373955	0.0	0.0	3.4401975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.83911663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32164738	0.0	0.0	0.0	0.0
TaxVAMB_S10HC199	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7195144	1.2193925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1814015	0.0	0.0	0.0	1.6481025	0.0	0.0	0.0	0.0	4.0471525	0.0	0.0	0.0	0.0	5.2737103	0.0	0.0	0.0	0.0	1.2253582	0.93481964	0.0	0.0	0.0	1.002674	0.0	0.0	0.0	0.0	0.0	6.105946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9282691	0.0	0.0	0.0	0.0	4.9481297	0.0	0.0	0.0	0.0	2.2931855	4.2791724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.7096224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0323973	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0790193	0.0	2.1703668	0.0	0.0	0.0	0.0	0.0	2.1583056	1.048544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TaxVAMB_S10HC69	0.0	36.89481	0.0	15.025746	12.512548	0.0	0.0	0.0	0.0	0.6943303	0.0	10.184421	0.0	0.0	0.66163737	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7923442	2.4903696	0.59479016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.34339	0.0	0.0	0.0	0.0	1.427262	0.0	0.0	0.8166323	0.0	0.0	0.0	0.0	0.0	2.2639737	0.0	0.0	0.0	0.0	0.0	0.5097187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7058071	0.51635283	0.37254307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.486217	0.71905994	0.0	0.47747114	0.0	0.74662983	0.0	0.0	0.0	0.0	1.136387	0.0	0.0	4.844393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5510214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58292836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2356579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TaxVAMB_S10HC822	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.7942057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.528287	0.0	0.0	0.0	0.0	0.0	3.0266426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8162774	0.0	0.0	0.0	3.7922473	0.0	1.8751595	1.3635869	0.0	2.6972826	0.0	2.3674023	0.0	2.6413527	4.6204257	0.0	0.0	0.0	3.7967873	16.644104	0.0	0.0	0.0	0.0	2.1838713	2.3087087	0.0	0.0	0.0	0.0	0.0	0.0	2.6538305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5808694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.380382	0.0	0.0	0.0	7.5669174	0.0	0.0	0.0	1.0075241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TaxVAMB_S10HC95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0117114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TaxVAMB_S10IC120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3853056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3130489	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8870296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5211885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6363867	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TaxVAMB_S11C2266	0.0	0.0	0.0	0.0	0.0	0.0	4.340248	0.0	0.0	7.1447177	0.0	0.0	0.0	0.0	0.0	6.4214807	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.674041	10.0136893	0.0	0.0	0.0	10.973995	0.0	0.0	0.0	0.0	18.775293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.3991485	0.0	0.0	7.686225	0.0	3.6298637	0.0	6.865852	0.0	0.0	0.0	0.0	14.425678	0.0	0.0	7.2855444	1.1242154	0.0	0.0	0.0	0.0	0.0	0.0	10.55358	0.0	7.456956	0.0	0.0	5.6324964	12.937939	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.540961	0.0	15.095664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.801211	0.0	16.206375	0.0	0.0	0.0	0.0	2.947507	0.0	7.834085	0.0	0.0	0.0	12.6947	9.78379	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TaxVAMB_S11EC877	1.5363413	0.0	0.0	0.0	0.0	0.0	4.8139215	0.0	0.9718279	0.0	0.0	0.0	0.0	0.0	1.8700991	0.0	0.0	0.0	0.0	0.0	0.0	0.9505006	0.0	0.0	0.0	1.3214486	0.0	3.2035785	0.0	0.0	0.0	0.20531584	0.0	0.0	0.0	0.5091519	0.0	0.0	0.0	0.27830657	1.0493029	0.0	0.0	0.0	0.0	0.3540439	2.2276092	0.0	2.6794639	0.0	0.0	0.0	0.0	0.0	1.5928339	0.0	0.5199037	0.0	0.0	0.0	1.1100385	0.0	0.0	0.0	0.0	0.77760077	0.0	0.0	0.0	0.0	0.0	0.9278779	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.2069087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52712905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.110945	0.0	0.0	0.0	0.47160053	0.0	0.0	0.657043	0.0	4.798264	1.0647105	4.8768287	0.0	5.4247994	0.0	0.0	0.0	0.0	0.0	2.8551624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.79215	0.0	3.475174	0.0
TaxVAMB_S11FC53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2265444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2868739	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.415218	0.0	0.0	0.0	0.0	0.0
TaxVAMB_S11FC55565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5976554	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20422135	0.0	0.0	0.0	0.0	0.0	1.3762039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3025577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8824539	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.523033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0563818	0.0	0.0	0.0	0.0	0.0	0.0	3.8874888	0.0	0.0	0.0	0.0	0.0	0.6924262	0.0	0.0	0.0	0.0	0.0
TaxVAMB_S11FC56366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64138246	0.0	0.0	1.5640755	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52126974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0429431	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0006027	0.0	0.0	0.0	0.0	0.7798157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2700628	0.0	0.0	0.0	1.4132818	0.0	0.0	0.0	0.0	0.0
TaxVAMB_S11GC112	54.324265	9.047014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.041529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5425841	0.59619427	0.0	0.0	0.76564366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4017494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6713014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9816542	0.26740098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2676831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TaxVAMB_S11GC65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.56340426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4945124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8255122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9041798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TaxVAMB_S11HC18	0.0	0.0	0.0	0.0	0.7768091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1505404	0.0	0.0	0.0	0.0	0.78107333	0.6171927	0.0	0.0	0.7084055	0.0	0.0	0.0	0.19775482	7.6801944	0.0	0.0	0.0	0.0	0.28704232	0.0	0.0	0.0	2.5434558	0.0	0.0	0.0	0.0	0.0	0.0	0.76738364	0.0	0.0	0.46502975	0.0	0.78992206	0.0	0.0	0.5831704	0.0	0.0	0.0	0.0	0.0	0.47118944	0.0	0.0	0.0	0.8491387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33109573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30226144	0.0	0.7530188	0.0	0.0	0.0	0.7287107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23200305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TaxVAMB_S11HC842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5228913	0.44299045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3179786	0.0	5.4630613	0.0	0.0	0.0	0.0	0.0	0.0	4.2234387	0.0	1.3016931	0.0	0.0	0.0	0.0	0.0	0.9531853	0.0	1.7269347	0.0	0.0	8.073204	0.0	0.0	0.0	1.3469176	0.0	0.0	0.0	1.0570801	0.6192283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.063895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0329347	0.0	0.62104183	1.9561646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3609571	0.0	0.0	0.0	0.0	0.0	3.4249651	1.493928	3.9557345	0.0	0.0	0.0	0.0	0.0	0.0	3.010661	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TaxVAMB_S11IC86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.36537	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.91722107	0.0	0.0	0.0	0.0	0.38617733	20.379251	0.0	0.0	0.0	0.7134563	0.0	0.0	0.0	0.0	0.0	0.0	0.7392791	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5953732	0.0	2.8547475	0.85568845	0.0	0.64730686	0.0	1.089058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5374252	0.0	0.0	1.2587281	0.0	0.0	0.0	0.0	3.419034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1459066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3472058	0.0	0.0	0.0	0.0	0.7428529	0.0	0.0	0.0	0.0	2.5719268	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
